Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       Egzaminas
Vardas1                 Pavarde1                      5         6         8         3         5          6
Vardas2                 Pavarde2                      9         7         9         3         2          7
Vardas3                 Pavarde3                      6         8        10         7         7          9
Vardas4                 Pavarde4                      9         8         9         9         9         10
Vardas5                 Pavarde5                      5         4         5         7         6          7
Vardas6                 Pavarde6                      6         9         8         6         9          6
Vardas7                 Pavarde7                      9         9         9         8        10          9
Vardas8                 Pavarde8                      5         7         5         6         2          6
Vardas9                 Pavarde9                      6         6         6         5         7          7
Vardas10               Pavarde10                      8         9        10        10         8          9
